Number,Wins,For,Against,Ratio
2878152,1839,117540,16689,7.04296243
111035385,1729,112915,22184,5.089929679
39736309,1824,115565,22713,5.088055299
2082194,1828,116122,22918,5.06684702
10420116,1827,116186,23321,4.98203336
220129174,1821,117694,24920,4.722873194
141949606,1814,115071,24504,4.696008815
211278245,1792,112339,24899,4.511787622
188704895,1919,115609,26043,4.439158315
34991586,1826,118795,26838,4.426373053
16748215,1706,110436,25118,4.396687634
227539533,1695,112030,25768,4.347640484
33517643,1728,114056,26308,4.335411282
265559983,1765,110270,25961,4.247525134
96438897,1597,106657,25297,4.216191643
150979100,1901,114470,27330,4.188437614
129905180,1600,106470,25494,4.176276771
26189714,1783,113403,27402,4.138493541
211152761,1816,113168,27405,4.129465426
140248029,1822,119287,28891,4.12886366
52131987,1682,112585,27392,4.110141647
161168292,1817,118767,29538,4.020820638
174847421,1906,115212,28981,3.97543218
194848664,1848,120669,30400,3.969375
16614069,1657,109368,27714,3.946308725
110907359,1619,111182,28514,3.899207407
194721767,1805,118569,30526,3.884197078
51105258,1709,110486,29173,3.78726905
44444444,1688,109421,29338,3.729668007
119440339,1650,114800,31121,3.68882748
140506575,1818,121357,33287,3.645777631
106592925,1597,107613,29566,3.639755124
58153170,1648,110203,30565,3.6055292
169351084,1878,127513,35583,3.583537082
232177028,1665,107318,29975,3.580250209
208887597,1669,109774,30666,3.579664775
168544680,1800,111668,31450,3.550651828
178234127,1817,115304,32740,3.521808186
152032751,1792,117994,33679,3.503488821
176063057,1870,114222,32607,3.502990155
192893515,1870,114193,32690,3.493208932
91216722,1571,105818,30379,3.483261464
264112249,1755,106600,30628,3.480475382
259953253,1751,106451,30776,3.458896543
236891075,1744,118933,34466,3.450734057
253722587,1744,118897,34501,3.446189966
209689930,1707,106397,31011,3.430943859
154300319,1696,113334,33351,3.398218944
9172937,1754,117285,34517,3.397890894
198786021,1835,125645,37096,3.38702286
161035759,1836,125589,37113,3.383962493
14288713,1647,112991,33683,3.354540866
39586452,1704,117218,35041,3.34516709
181910070,1789,111107,33311,3.335444748
68735449,1600,109760,33133,3.312709383
73086947,1620,111016,33554,3.308577219
183916837,1819,108600,32870,3.303924551
221896527,1754,111024,33604,3.303892394
215391120,1688,110943,33695,3.292565663
164340123,1765,116502,35807,3.253609629
184326653,1858,119760,36970,3.239383284
154034749,1744,113458,35092,3.233158555
84927901,1630,113690,35330,3.217945089
119048118,1585,109160,34460,3.167730702
89844171,1599,113365,35820,3.164852038
83332114,1524,103510,32862,3.149838719
9989530,1781,120710,38354,3.147259738
200275788,1776,108943,34758,3.134328788
160897948,1710,109737,35182,3.119123415
181223085,1773,110617,35600,3.107219101
125229224,1541,108773,35156,3.094009557
257435121,1673,113543,36706,3.093308996
72951789,1543,107180,34814,3.078646522
89710585,1547,107245,34839,3.078303051
38502248,1573,108046,35209,3.068704025
51374998,1617,115396,37786,3.05393532
259450849,1619,107438,35195,3.052649524
158330093,1691,118527,38971,3.041415411
179200658,1820,110878,36643,3.025898535
143814490,1786,118323,39177,3.020215943
217443946,1704,107980,35759,3.019659386
192356457,1718,112388,37342,3.009694178
215792097,1616,111014,36972,3.002650655
3810356,1636,112476,37508,2.998720273
8222301,1561,108001,36101,2.991634581
265027143,1668,107331,35886,2.990887811
204987749,1690,114922,38759,2.965040378
55555555,1655,112913,38102,2.963440239
96173661,1527,104656,35469,2.950632947
146777933,1827,115045,39042,2.946698427
173745598,1806,125959,42755,2.946064788
146246161,1788,111220,37762,2.945288915
224062906,1658,116776,39736,2.938796054
147450331,1707,116333,39777,2.924629811
209418871,1679,105450,36471,2.891338324
35254219,1784,122121,42266,2.88934368
58689908,1509,102395,35555,2.879904374
44926423,1664,112263,39733,2.825434777
108755610,1572,104788,37118,2.823104693
109039466,1515,106035,37698,2.812748687
142329699,1701,110080,39193,2.808664813
171892981,1818,115722,41284,2.803071408
141556679,1777,126838,45563,2.783793868
237967495,1664,107860,38803,2.779681983
213641876,1676,114718,41509,2.763689802
12428832,1647,118300,42869,2.759569852
41519695,1658,124580,45417,2.743025739
1040587,1707,119037,43426,2.741145857
158884823,1866,127437,46617,2.733702297
209158620,1555,105465,38600,2.732253886
157110162,1665,110337,40441,2.728344996
137974221,1868,127272,46799,2.719545289
24757847,1662,124824,46021,2.712326981
228330993,1668,118843,43943,2.704480805
97103129,1467,106582,39578,2.692960736
198116877,1751,110664,41116,2.691506956
221509331,1622,110816,41199,2.689774024
209546849,1628,103188,38406,2.686767693
162684797,1753,108641,40486,2.68342143
159014221,1654,106085,39618,2.677697006
168677298,1724,114371,42727,2.676785171
90949384,1495,99473,37262,2.669556116
246803871,1727,107682,40397,2.66559398
174717425,1861,122392,46033,2.658788261
246124876,1735,108358,40773,2.657592034
133701391,1563,104000,39194,2.653467367
217042310,1661,112287,42530,2.6401834
134946698,1577,106158,40301,2.634128185
17814988,1679,117360,44570,2.633161319
7010660,1603,111480,42436,2.627014799
151631760,1638,113766,43315,2.626480434
57620738,1507,103867,39549,2.626286379
133138850,1635,115055,44160,2.605412138
33113205,1655,123751,47506,2.604955164
146388969,1861,127168,48850,2.603234391
216656308,1667,118343,45475,2.602374931
212705843,1663,113327,43712,2.592583272
148572530,1617,108783,42061,2.586315114
167335326,1857,125456,48577,2.582621405
202529729,1645,119409,46247,2.581983696
246266172,1725,109439,42455,2.577764692
145833439,1858,122085,47383,2.576556993
97357073,1452,107121,41630,2.573168388
41649682,1674,121818,47374,2.571410478
225928163,1527,103254,40244,2.565699235
250609570,1742,117446,45787,2.565051215
138369495,1798,124351,48590,2.559189134
184444737,1774,106723,41888,2.547817991
16346758,1603,117242,46539,2.519220439
213900726,1743,122283,48581,2.517095161
48963375,1726,116366,46439,2.505781778
113225102,1534,126216,50759,2.48657381
227135449,1492,103703,41853,2.477791317
210734699,1524,106224,42977,2.471647625
212983805,1711,110187,44616,2.469674556
114290110,1526,116285,47124,2.467638571
33384551,1549,109263,44304,2.466210726
32213634,1542,110445,44961,2.456462267
62437400,1635,122194,49917,2.447943586
114820241,1510,104285,42745,2.43970055
201051662,1701,108887,44873,2.426559401
213392786,1706,114006,46988,2.42627905
170844526,1757,120105,49857,2.408989711
179732087,1780,119574,49687,2.406544972
146517036,1773,121118,50367,2.404709433
135512005,1667,119022,49629,2.398234903
227267476,1609,119272,49833,2.39343407
44799780,1641,116387,48914,2.379421025
154435411,1671,127570,53691,2.376003427
250209380,1687,107306,45197,2.374184127
208756220,1579,115765,48857,2.369465993
204719752,1522,103354,43782,2.360650496
79457607,1567,109360,46458,2.353954109
15530939,1557,121120,51500,2.35184466
213759939,1727,122315,52387,2.334834978
94054106,1537,107497,46174,2.32808507
106880943,1585,117385,50601,2.319815814
251277704,1737,118949,51280,2.319598284
168425193,1776,123661,53342,2.318267032
192748596,1658,108311,46773,2.315673572
18770859,1607,119424,51612,2.313880493
232708283,1473,101574,43899,2.313811249
204444170,1516,104367,45183,2.309873182
114950482,1413,107292,46473,2.308695372
23844756,1588,136614,59417,2.299240958
13340421,1610,122194,53198,2.296966051
69124517,1579,117030,51043,2.29277276
208633678,1495,110956,48608,2.282669519
179337775,1798,122079,53646,2.275640309
131884724,1483,99944,43996,2.27166106
250477724,1666,114209,50327,2.269338526
157935299,1663,123543,54481,2.267634588
238370153,1585,120095,53057,2.263509056
205126328,1645,112567,49895,2.256077763
186031285,1601,124055,55332,2.242011856
168811755,1651,119772,53576,2.235553233
115080678,1603,117331,52509,2.234493135
242091750,1618,106252,47785,2.223542953
143940458,1649,117357,52903,2.218343005
256609812,1598,103934,46905,2.215840529
133423006,1464,122991,55775,2.205127745
37680577,1625,133431,60988,2.187823834
154565868,1656,127169,58326,2.180314097
217181548,1641,108110,49680,2.176127214
210486852,1580,115653,53188,2.174419042
13742076,1638,122276,56548,2.162339959
124968279,1464,101271,46963,2.156399719
194180971,1650,122233,56750,2.153885463
245339965,1566,115629,53722,2.152358438
61636075,1588,122944,57136,2.151778213
199860128,1779,127078,59061,2.15163983
7684039,1491,130881,61183,2.139172646
133842846,1405,120952,56717,2.13255285
261176537,1629,110377,51841,2.129144885
75236882,1431,103005,48485,2.124471486
226068291,1598,102768,48803,2.105772186
38764339,1400,100688,47980,2.098541059
54066153,1611,138264,66036,2.093767036
87963070,1557,131482,63020,2.086353539
152971195,1520,121162,58152,2.083539689
39048179,1465,106617,51250,2.080331707
134135222,1550,131297,63156,2.078931535
35388894,1577,120774,58201,2.075118984
63781512,1573,105139,50732,2.072439486
221649852,1582,117516,56857,2.066869515
142077409,1579,141574,68972,2.052630053
200654003,1641,105511,51533,2.047445326
221098447,1502,117863,57668,2.043819796
265698328,1459,99298,48845,2.032920463
183381009,1689,122476,60255,2.032627998
39320170,1754,117030,57691,2.028565981
239707085,1625,114060,56256,2.027517065
18504648,1571,117462,58087,2.022173636
142205704,1639,110696,54746,2.021992474
189480862,1538,106058,52506,2.019921533
262912288,1610,116645,57851,2.016300496
263054825,1688,123196,61125,2.015476483
56032859,1734,118516,58804,2.015441126
243017606,1522,107603,53416,2.014433877
71007683,1460,129451,64326,2.012421105
149921136,1667,125333,62420,2.00789811
50020742,1512,129685,64601,2.007476664
250343621,1653,121187,60441,2.005046243
227393369,1480,116263,58012,2.004119837
1546169,1538,118062,58927,2.003529791
