Number,Wins,For,Against,Ratio,,Nonreachable,,,,,,all2000,,,,,,Reachable,,,,
2878152,1340,86465,14403,6.003263209,,Number,Wins,For,Against,Ratio,,Number,Wins,For,Against,Ratio,,Number,Wins,For,Against,Ratio
39736309,1326,84948,18926,4.488428617,,177259467,447,72990,45246,1.613181276,,2878152,1824,116626,17077,6.829419687,,2878152,1340,86465,14403,6.003263209
111035385,1242,82960,18535,4.475856488,,147857609,430,70632,44168,1.599166818,,111035385,1736,112725,21673,5.201171965,,39736309,1326,84948,18926,4.488428617
10420116,1331,85565,19341,4.424021509,,112528525,408,70991,44889,1.581478759,,39736309,1812,115215,22837,5.045102246,,111035385,1242,82960,18535,4.475856488
2082194,1323,85297,19601,4.351665731,,178917518,467,77610,49258,1.575581631,,10420116,1813,115343,22992,5.016657968,,10420116,1331,85565,19341,4.424021509
220129174,1324,86825,20359,4.264698659,,243974883,452,69572,44249,1.572284119,,2082194,1814,115406,23244,4.96498021,,2082194,1323,85297,19601,4.351665731
141949606,1311,83568,20815,4.014797021,,44379577,362,83536,54426,1.534854665,,141949606,1812,114802,24136,4.756463374,,220129174,1324,86825,20359,4.264698659
34991586,1335,87475,21806,4.011510593,,162541802,421,69765,45685,1.527087666,,220129174,1807,116890,24908,4.692869761,,141949606,1311,83568,20815,4.014797021
140248029,1327,87532,23151,3.780916591,,44247974,357,85443,56587,1.509940446,,211278245,1778,111847,24767,4.515968829,,34991586,1335,87475,21806,4.011510593
194848664,1351,88988,23902,3.723035729,,172142007,458,75545,50657,1.491304262,,34991586,1823,118448,26491,4.471254388,,140248029,1327,87532,23151,3.780916591
161168292,1326,87701,23740,3.694229149,,176999249,446,71880,48494,1.482245226,,16748215,1702,110149,24821,4.437734177,,194848664,1351,88988,23902,3.723035729
26189714,1294,83289,22958,3.627885704,,,,,,,,,,,,,,,,,,
211278245,1293,80758,22283,3.624197819,,,,,,,,,,,,,,,,,,
227539533,1195,80570,22310,3.611385029,,",[t(y,k,y,p,wa),t(g,k,g,p,wa),t(y,e,g,k,wa),t(g,e,y,w,wa),t(y,w,g,k,gg),t(g,w,y,e,gg),t(y,p,y,p,gg)])",,,,,,,,,,,,,,,,
16748215,1215,79623,22246,3.57920525,,,,,,,,,,,,,,,,,,
33517643,1230,81813,23009,3.555695597,,,,,,,,,,,,,,,,,,
194721767,1307,86424,24571,3.517317163,,K,K,E,E,W,W,P,,,,,,,,,,
188704895,1422,82299,23405,3.516299936,,,,,,,,,,,,,,Number,Wins,For,Against,Ratio
169351084,1374,93719,26849,3.490595553,,P,P,K,W,K,E,P,,,,,,2878152,1839,117540,16689,7.04296243
140506575,1320,89189,26099,3.417333997,,,,,,,,,,,,,,111035385,1729,112915,22184,5.089929679
265559983,1266,78792,23282,3.38424534,,,,,,,,,,,,,,39736309,1824,115565,22713,5.088055299
129905180,1114,76157,22609,3.368437348,,,,,,,,,,,,,,2082194,1828,116122,22918,5.06684702
52131987,1184,80872,24111,3.354153706,,",[t(y,k,y,e,wa),t(g,k,y,e,gg),t(y,e,y,p,gg),t(g,e,y,p,gg),t(y,w,y,e,wa),t(g,w,y,e,wa),t(y,p,g,e,wa)]).",,,,,,,,,,,,10420116,1827,116186,23321,4.98203336
161035759,1339,91913,27946,3.288950118,,,,,,,,,,,,,,220129174,1821,117694,24920,4.722873194
198786021,1336,91870,27973,3.284238373,,,,,,,,,,,,,,141949606,1814,115071,24504,4.696008815
110907359,1128,80112,24462,3.274957076,,K,K,E,E,W,W,P,,,,,,211278245,1792,112339,24899,4.511787622
96438897,1096,75660,23145,3.268956578,,,,,,,,,,,,,,188704895,1919,115609,26043,4.439158315
211152761,1309,80235,24578,3.264504842,,E,E,P,P,E,E,E,,,,,,34991586,1826,118795,26838,4.426373053
150979100,1397,80678,24734,3.261825827,,,,,,,,,,,,,,,,,,
174847421,1420,81256,25086,3.239097505,,,,,,,,,,,,,,,,,,
152032751,1292,86281,26661,3.236225198,,"(39736309,[t(y,k,y,p,wa),t(g,k,y,p,wa),t(y,e,g,k,wa),t(g,e,y,w,gg),t(y,w,y,w,wa),t(g,w,g,e,gg),t(y,p,y,p,gg)])",,,,,,,,,,,,,,,,
16614069,1166,78088,24440,3.195090016,,,,,,,,,,,,,,,,,,
253722587,1253,86908,27208,3.194207586,,K,K,E,E,W,W,P,,,,,,,,,,
119440339,1165,83160,26041,3.193425752,,,,,,,,,,,,,,,,,,
51105258,1220,79572,24983,3.185045831,,P,P,K,W,W,E,P,,,,,,,,,,
236891075,1248,86821,27308,3.17932474,,,,,,,,,,,,,,,,,,
9989530,1294,88018,28531,3.084995268,,,,,,,,,,,,,,,,,,
9172937,1259,85202,27873,3.056793313,,,,,,,,,,,,,,,,,,
58153170,1176,79285,25997,3.049774974,,K,K,E,E,W,W,P,,,,,,,,,,
208887597,1175,78431,26271,2.985459252,,,,,,,,,,,,,,,,,,
164340123,1265,84939,28796,2.949680511,,E,E,K,P,E,K,P,,,,,,,,,,
39586452,1212,84338,29105,2.897715169,,,,,,,,,,,,,,,,,,
168544680,1301,79556,27585,2.884031176,,,,,,,,,,,,,,,,,,
106592925,1099,76072,26404,2.881078624,,,,,"[t(y,k,y,e,wa),t(g,k,y,e,gg),t(y,e,g,k,gg),t(g,e,y,p,wa),t(y,w,g,e,wa),t(g,w,g,k,gg),t(y,p,y,p,gg)])",,,,,,,,,,,,,
232177028,1171,75933,26539,2.861185425,,,,,,"(33333333,[t(y,k,y,e,wa),t(g,k,y,e,gg),t(y,e,g,k,gg),t(g,e,y,p,wa),t(y,w,g,e,wa),t(g,w,g,k,gg),t(y,p,y,p,gg)]).",,,,,,,,,,,,
119048118,1102,79350,27795,2.854830005,,,,,,,,,,,,,,,,,,
73086947,1126,79572,27965,2.84541391,,,,,,,,,,,,,,,,,,
35254219,1302,88989,31394,2.834586227,,,,,,,,,,,,,,,,,,
68735449,1100,78590,27746,2.832480358,,,,,,,,,,,,,,,,,,
14288713,1155,81684,28851,2.831236352,,,,,,,,,,,,,,,,,,
257435121,1178,82448,29218,2.821822164,,,,,,,,,,,,,,,,,,
91216722,1079,75134,26820,2.801416853,,,,,,,,,,,,,,,,,,
178234127,1313,80732,28877,2.795719777,,,,,,,,,,,,,,,,,,
221896527,1258,78685,28326,2.777836617,,,,,,,,,,,,,,,,,,
84927901,1125,81530,29432,2.770114161,,,,,,,,,,,,,,,,,,
173745598,1304,91545,33148,2.76170508,,,,,,,,,,,,,,,,,,
215391120,1199,79076,28680,2.757182706,,,,,,,,,,,,,,,,,,
215792097,1162,81155,29440,2.756623641,,,,,,,,,,,,,,,,,,
209689930,1216,75124,27279,2.753913267,,,,,,,,,,,,,,,,,,
89710585,1065,77610,28311,2.741337289,,,,,,,,,,,,,,,,,,
154300319,1198,79827,29123,2.741029427,,,,,,,,,,,,,,,,,,
89844171,1103,81225,29832,2.722747385,,,,,,,,,,,,,,,,,,
72951789,1063,77515,28495,2.720301807,,,,,,,,,,,,,,,,,,
224062906,1175,85054,31480,2.70184244,,,,,,,,,,,,,,,,,,
264112249,1250,74485,27700,2.68898917,,,,,,,,,,,,,,,,,,
192893515,1364,79200,29527,2.682290785,,,,,,,,,,,,,,,,,,
147450331,1214,83259,31046,2.681794756,,,,,,,,,,,,,,,,,,
176063057,1370,79180,29555,2.679072915,,,,,,,,,,,,,,,,,,
259953253,1251,74364,27806,2.674386823,,,,,,,,,,,,,,,,,,
184326653,1358,82140,31053,2.645155057,,,,,,,,,,,,,,,,,,
181910070,1295,78277,29766,2.629745347,,,,,,,,,,,,,,,,,,
154034749,1257,79705,30311,2.629573422,,,,,,,,,,,,,,,,,,
51374998,1128,82021,31374,2.614298464,,,,,,,,,,,,,,,,,,
38502248,1102,77328,29631,2.609699301,,,,,,,,,,,,,,,,,,
143814490,1292,83798,32524,2.576497356,,,,,,,,,,,,,,,,,,
3810356,1144,79362,30959,2.563454892,,,,,,,,,,,,,,,,,,
158330093,1200,83123,32488,2.558575474,,,,,,,,,,,,,,,,,,
125229224,1059,76709,30116,2.547117811,,,,,,,,,,,,,,,,,,
17814988,1204,83351,32774,2.54320498,,,,,,,,,,,,,,,,,,
160897948,1211,77558,30615,2.533333333,,,,,,,,,,,,,,,,,,
41519695,1171,87983,35015,2.512723119,,,,,,,,,,,,,,,,,,
8222301,1072,76937,30702,2.505927953,,,,,,,,,,,,,,,,,,
183916837,1323,75563,30256,2.49745505,,,,,,,,,,,,,,,,,,
24757847,1168,87662,35120,2.496070615,,,,,,,,,,,,,,,,,,
157110162,1185,80479,32264,2.494390032,,,,,,,,,,,,,,,,,,
204987749,1198,80465,32350,2.487326121,,,,,,,,,,,,,,,,,,
228330993,1167,84563,34399,2.458298206,,,,,,,,,,,,,,,,,,
12428832,1162,83544,34244,2.439668263,,,,,,,,,,,,,,,,,,
83332114,1029,72333,29656,2.439067979,,,,,,,,,,,,,,,,,,
1040587,1224,85974,35302,2.435386097,,,,,,,,,,,,,,,,,,
137974221,1373,87546,36384,2.406167546,,,,,,,,,,,,,,,,,,
151631760,1141,81114,33778,2.401385517,,,,,,,,,,,,,,,,,,
259450849,1117,74346,30989,2.399109361,,,,,,,,,,,,,,,,,,
200275788,1273,75051,31318,2.396417396,,,,,,,,,,,,,,,,,,
158884823,1368,87431,36512,2.394582603,,,,,,,,,,,,,,,,,,
181223085,1275,76405,31947,2.391617366,,,,,,,,,,,,,,,,,,
33113205,1170,86666,36303,2.387295816,,,,,,,,,,,,,,,,,,
202529729,1150,85227,35812,2.379844745,,,,,,,,,,,,,,,,,,
192356457,1220,78293,33013,2.371580892,,,,,,,,,,,,,,,,,,
96173661,1033,73053,31118,2.347612314,,,,,,,,,,,,,,,,,,
146777933,1337,78543,33572,2.339538901,,,,,,,,,,,,,,,,,,
141556679,1282,86483,37033,2.335295547,,,,,,,,,,,,,,,,,,
217443946,1204,73788,31731,2.325423088,,,,,,,,,,,,,,,,,,
97103129,995,76089,32795,2.320140265,,,,,,,,,,,,,,,,,,
41649682,1168,84199,36421,2.311825595,,,,,,,,,,,,,,,,,,
146246161,1288,76913,33420,2.301406344,,,,,,,,,,,,,,,,,,
265027143,1174,74641,32602,2.289460769,,,,,,,,,,,,,,,,,,
168677298,1231,81268,35550,2.286019691,,,,,,,,,,,,,,,,,,
179200658,1318,76121,33319,2.284612383,,,,,,,,,,,,,,,,,,
174717425,1365,84335,37164,2.269265956,,,,,,,,,,,,,,,,,,
142329699,1214,76675,33806,2.268088505,,,,,,,,,,,,,,,,,,
62437400,1145,84475,37312,2.264016938,,,,,,,,,,,,,,,,,,
146388969,1364,87101,38529,2.260660801,,,,,,,,,,,,,,,,,,
7010660,1133,79040,35089,2.252557782,,,,,,,,,,,,,,,,,,
221509331,1130,78618,35105,2.239510041,,,,,,,,,,,,,,,,,,
44926423,1172,77149,34535,2.233936586,,,,,,,,,,,,,,,,,,
167335326,1359,85646,38374,2.231875749,,,,,,,,,,,,,,,,,,
171892981,1319,77672,34997,2.219390233,,,,,,,,,,,,,,,,,,
97357073,982,76234,34384,2.217135877,,,,,,,,,,,,,,,,,,
213641876,1182,78438,35462,2.211888782,,,,,,,,,,,,,,,,,,
216656308,1177,81605,36903,2.211337832,,,,,,,,,,,,,,,,,,
58689908,1010,70757,32174,2.19919811,,,,,,,,,,,,,,,,,,
209418871,1184,72353,32915,2.198177123,,,,,,,,,,,,,,,,,,
16346758,1116,81602,37128,2.197856066,,,,,,,,,,,,,,,,,,
134946698,1079,75186,34265,2.194250693,,,,,,,,,,,,,,,,,,
135512005,1169,84613,38766,2.182660063,,,,,,,,,,,,,,,,,,
109039466,1021,73061,33529,2.179039041,,,,,,,,,,,,,,,,,,
145833439,1355,83185,38306,2.171591918,,,,,,,,,,,,,,,,,,
237967495,1171,73924,34071,2.169704441,,,,,,,,,,,,,,,,,,
48963375,1233,81778,38035,2.150072302,,,,,,,,,,,,,,,,,,
159014221,1161,73880,34438,2.145304605,,,,,,,,,,,,,,,,,,
212705843,1161,79189,36948,2.143255386,,,,,,,,,,,,,,,,,,
209158620,1059,72040,33755,2.13420234,,,,,,,,,,,,,,,,,,
108755610,1065,71633,33584,2.132950214,,,,,,,,,,,,,,,,,,
133701391,1070,71833,33755,2.128069916,,,,,,,,,,,,,,,,,,
227267476,1116,84090,39757,2.115099228,,,,,,,,,,,,,,,,,,
210734699,1056,75058,35817,2.095597063,,,,,,,,,,,,,,,,,,
18770859,1122,85950,41119,2.090274569,,,,,,,,,,,,,,,,,,
198116877,1250,74901,35910,2.085797828,,,,,,,,,,,,,,,,,,
138369495,1305,83699,40133,2.085540578,,,,,,,,,,,,,,,,,,
227135449,1000,72973,35083,2.080010261,,,,,,,,,,,,,,,,,,
32213634,1061,76624,36846,2.079574445,,,,,,,,,,,,,,,,,,
114290110,1031,81228,39112,2.076805073,,,,,,,,,,,,,,,,,,
13340421,1111,84279,40650,2.073284133,,,,,,,,,,,,,,,,,,
217042310,1166,76322,36963,2.064821578,,,,,,,,,,,,,,,,,,
154435411,1187,87465,42488,2.058581246,,,,,,,,,,,,,,,,,,
246124876,1232,73640,35808,2.056523682,,,,,,,,,,,,,,,,,,
113225102,1037,83304,40632,2.050206734,,,,,,,,,,,,,,,,,,
133138850,1133,77478,37845,2.047245343,,,,,,,,,,,,,,,,,,
148572530,1127,75241,36836,2.042594201,,,,,,,,,,,,,,,,,,
114820241,1024,72696,35635,2.040016837,,,,,,,,,,,,,,,,,,
157935299,1177,84942,41797,2.032251119,,,,,,,,,,,,,,,,,,
33384551,1053,75787,37332,2.030081431,,,,,,,,,,,,,,,,,,
90949384,997,68475,33786,2.026727047,,,,,,,,,,,,,,,,,,
146517036,1278,83074,40998,2.026293966,,,,,,,,,,,,,,,,,,
225928163,1041,70771,34928,2.026196748,,,,,,,,,,,,,,,,,,
209546849,1128,70305,34742,2.02363134,,,,,,,,,,,,,,,,,,
250609570,1247,79279,39181,2.023404201,,,,,,,,,,,,,,,,,,
213900726,1247,82305,40723,2.021093731,,,,,,,,,,,,,,,,,,
69124517,1088,83320,41240,2.020368574,,,,,,,,,,,,,,,,,,
57620738,1016,71393,35368,2.018576114,,,,,,,,,,,,,,,,,,
246266172,1234,74795,37109,2.015548789,,,,,,,,,,,,,,,,,,
168425193,1281,85418,42541,2.007898263,,,,,,,,,,,,,,,,,,
106880943,1082,83090,41487,2.002796057,,,,,,,,,,,,,,,,,,
162684797,1262,74141,37044,2.001430731,,,,,,,,,,,,,,,,,,
56032859,1266,87648,43849,1.998859723,,,,,,,,,,,,,,,,,,
208756220,1087,78881,39498,1.99708846,,,,,,,,,,,,,,,,,,
94054106,1052,75022,37576,1.996540345,,,,,,,,,,,,,,,,,,
39320170,1263,86067,43579,1.974965006,,,,,,,,,,,,,,,,,,
13742076,1144,86020,43906,1.959185533,,,,,,,,,,,,,,,,,,
170844526,1263,80178,41089,1.951325172,,,,,,,,,,,,,,,,,,
246803871,1228,72735,37281,1.950993804,,,,,,,,,,,,,,,,,,
212983805,1212,74390,38134,1.950752609,,,,,,,,,,,,,,,,,,
23844756,1094,92424,47526,1.944703952,,,,,,,,,,,,,,,,,,
15530939,1063,83390,42939,1.942057337,,,,,,,,,,,,,,,,,,
179337775,1310,83933,43251,1.940602529,,,,,,,,,,,,,,,,,,
210486852,1100,81594,42091,1.938514172,,,,,,,,,,,,,,,,,,
213392786,1200,76504,39476,1.937987638,,,,,,,,,,,,,,,,,,
143940458,1193,82562,42916,1.923804642,,,,,,,,,,,,,,,,,,
179732087,1283,80697,41965,1.922959609,,,,,,,,,,,,,,,,,,
238370153,1092,82130,42713,1.922833798,,,,,,,,,,,,,,,,,,
114950482,921,73681,38531,1.912252472,,,,,,,,,,,,,,,,,,
186031285,1114,85418,44702,1.91083173,,,,,,,,,,,,,,,,,,
250209380,1189,72810,38153,1.908368936,,,,,,,,,,,,,,,,,,
115080678,1095,82366,43462,1.895126777,,,,,,,,,,,,,,,,,,
131884724,1008,69999,37136,1.88493645,,,,,,,,,,,,,,,,,,
232708283,991,71200,37818,1.882701359,,,,,,,,,,,,,,,,,,
154565868,1157,88997,47414,1.877019446,,,,,,,,,,,,,,,,,,
44799780,1139,78121,41806,1.868655217,,,,,,,,,,,,,,,,,,
201051662,1200,72829,39082,1.863492145,,,,,,,,,,,,,,,,,,
251277704,1243,78896,42378,1.861720704,,,,,,,,,,,,,,,,,,
213759939,1218,80642,43523,1.852859408,,,,,,,,,,,,,,,,,,
184444737,1274,71249,38459,1.852596271,,,,,,,,,,,,,,,,,,
35388894,1098,85780,46414,1.848149265,,,,,,,,,,,,,,,,,,
79457607,1062,74037,40061,1.848106637,,,,,,,,,,,,,,,,,,
119301583,916,72266,39424,1.83304586,,,,,,,,,,,,,,,,,,
168811755,1159,81993,44770,1.831427295,,,,,,,,,,,,,,,,,,
152971195,1034,85149,46598,1.827310185,,,,,,,,,,,,,,,,,,
